Parent	Code	Description		Ref_Area_Type	ISO	X	Y
NP_DEV_EAST	101	Taplejung		District			
NP_DEV_EAST	109	Panchthar		District			
NP_DEV_EAST	110	Ilam		District			
NP_DEV_EAST	111	Jhapa		District			
NP_DEV_EAST	112	Morang		District			
NP_DEV_EAST	113	Sunsari		District			
NP_DEV_EAST	107	Dhankuta		District			
NP_DEV_EAST	108	Terhathum		District			
NP_DEV_EAST	102	Sankhuwasabha		District			
NP_DEV_EAST	106	Bhojpur		District			
NP_DEV_EAST	103	Solukhumbu		District			
NP_DEV_EAST	104	Okhaldhunga		District			
NP_DEV_EAST	105	Khotang		District			
NP_DEV_EAST	114	Udayapur		District			
NP_DEV_EAST	201	Saptari		District			
NP_DEV_EAST	202	Siraha		District			
NP_DEV_CENT	203	Dhanusa		District			
NP_DEV_CENT	204	Mahottari		District			
NP_DEV_CENT	205	Sarlahi		District			
NP_DEV_CENT	311	Sindhuli		District			
NP_DEV_CENT	310	Ramechhap		District			
NP_DEV_CENT	301	Dolakha		District			
NP_DEV_CENT	302	Sindhupalchok		District			
NP_DEV_CENT	309	Kavrepalanchok		District			
NP_DEV_CENT	308	Lalitpur		District			
NP_DEV_CENT	307	Bhaktapur		District			
NP_DEV_CENT	306	Kathmandu		District			
NP_DEV_CENT	305	Nuwakot		District			
NP_DEV_CENT	303	Rasuwa		District			
NP_DEV_CENT	304	Dhading		District			
NP_DEV_CENT	312	Makwanpur		District			
NP_DEV_CENT	206	Rautahat		District			
NP_DEV_CENT	207	Bara		District			
NP_DEV_CENT	208	Parsa		District			
NP_DEV_CENT	313	Chitawan		District			
NP_DEV_WEST	401	Gorkha		District			
NP_DEV_WEST	406	Lamjung		District			
NP_DEV_WEST	407	Tanahu		District			
NP_DEV_WEST	409	Syangja		District			
NP_DEV_WEST	405	Kaski		District			
NP_DEV_WEST	402	Manang		District			
NP_DEV_WEST	403	Mustang		District			
NP_DEV_WEST	404	Myagdi		District			
NP_DEV_WEST	410	Parbat		District			
NP_DEV_WEST	411	Baglung		District			
NP_DEV_WEST	504	Gulmi		District			
NP_DEV_WEST	506	Palpa		District			
NP_DEV_WEST	408_507	Nawalparasi		District			
NP_DEV_WEST	508	Rupandehi		District			
NP_DEV_WEST	509	Kapilbastu		District			
NP_DEV_WEST	505	Arghakhanchi		District			
NP_DEV_MIDW	503	Pyuthan		District			
NP_DEV_MIDW	502	Rolpa		District			
NP_DEV_MIDW	501_608	Rukum		District			
NP_DEV_MIDW	609	Salyan		District			
NP_DEV_MIDW	510	Dang		District			
NP_DEV_MIDW	511	Banke		District			
NP_DEV_MIDW	512	Bardiya		District			
NP_DEV_MIDW	610	Surkhet		District			
NP_DEV_MIDW	606	Dailekh		District			
NP_DEV_MIDW	607	Jajarkot		District			
NP_DEV_MIDW	601	Dolpa		District			
NP_DEV_MIDW	604	Jumla		District			
NP_DEV_MIDW	605	Kalikot		District			
NP_DEV_MIDW	602	Mugu		District			
NP_DEV_MIDW	603	Humla		District			
NP_DEV_FARW	701	Bajura		District			
NP_DEV_FARW	702	Bajhang		District			
NP_DEV_FARW	707	Achham		District			
NP_DEV_FARW	706	Doti		District			
NP_DEV_FARW	708	Kailali		District			
NP_DEV_FARW	709	Kanchanpur		District			
NP_DEV_FARW	705	Dadeldhura		District			
NP_DEV_FARW	704	Baitadi		District			
NP_DEV_FARW	703	Darchula		District			
